"from","to","Correlation","p_value","fdr"
"exposome_genus_Clostridium","nRPLC_297.2436_10",1,0.0166666666666667,1.77815125038364
"exposome_genus_Clostridium","nRPLC_450.2624_9.5",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Clostridium","nRPLC_241.1447_7.7",1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","pHILIC_764.5206_3.4",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","pHILIC_118.0861_7",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","pHILIC_245.1492_7.5",1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","pHILIC_249.1078_10.4",1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","pHILIC_229.1181_10.5",1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","pHILIC_133.097_16.1",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","nHILIC_160.0615_10.7",1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","nHILIC_144.0302_7.2",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","nHILIC_96.96_11.1",1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","nHILIC_160.0251_10.4",1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","pRPLC_311.0802_7.2",-1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","pRPLC_373.2738_9.2",1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","nRPLC_567.3173_8.9",1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","nRPLC_567.3171_9.6",1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","nRPLC_241.2174_10.5",1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","nRPLC_269.2487_11",1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","nRPLC_567.3177_9.2",1,0.0166666666666667,1.77815125038364
"exposome_genus_Coniosporium","nRPLC_541.2652_7.4",-1,0.0166666666666667,1.77815125038364
