Date,Calories,Steps,Sleep Duration,Sleep Score,Number of Interruptions,Number of Toss and Turns,Interruption Duration,Resting Heart Rate,Bike Calories,Bike Duration,Run Calories,Run Duration,Run Steps,Walk Calories,Walk Duration,Walk Steps
2015-09-27,2173.3,6443,330,60,1,36,12,72,,,39.9,3,534,260.4,37,3069
2015-09-28,2720.9,11199,576,78,1,68,4,62,5.5,4,,,,707.4,88,8147
2015-09-29,2817,13287,330,64,1,13,6,72,,,204.2,16,2524,539.6,71,5950
2015-09-30,2588.4,10292,240,38,1,11,9,78,,,,,,560.7,76,6768
2015-10-01,2545.5,12058,430,92,1,45,2,68,,,339.3,26,4309,312.2,43,3712
2015-10-02,2277,6181,313,56,1,14,5,68,,,,,,175.6,26,1907
2015-10-03,3194.5,18590,542,90,2,41,2,71,,,497.2,37,6202,551,80,6207
2015-10-04,6245.3,32974,246,38,2,23,14,63,72.6,15,521.1,38,6475,286.7,44,3097
2015-10-05,5439.1,22245,270,42,1,27,11,63,,,,,,366.4,47,4481
2015-10-06,3448.6,22053,423,85,4,35,20,55,4.1,4,259.5,19,3199,1200.8,144,14442
2015-10-07,3226.9,12912,442,94,2,28,5,61,17.5,6,,,,892,107,11090
2015-10-08,1847.9,4506,344,68,1,19,4,69,,,,,,212.5,32,2356
2015-10-09,2692.6,11179,325,62,0,22,0,77,,,,,,550.8,72,6566
2015-10-10,2827.3,14599,458,93,4,40,35,58,,,,,,848.6,106,10479
2015-10-11,2441.6,6667,385,80,1,54,1,65,,,,,,349.8,41,4018
2015-10-12,5790.7,17518,524,91,1,55,3,64,594.4,66,,,,509.8,67,5995
2015-10-13,2673,8135,440,84,2,28,10,68,264.1,39,,,,254.9,35,3087
2015-10-14,2619,6179,412,92,0,26,0,58,206.9,24,,,,244.3,35,2931
2015-10-15,2701.8,9171,409,88,3,19,11,67,172.1,25,,,,386,51,4522
2015-10-16,2888.8,9441,364,75,0,21,0,60,174.3,24,,,,427.8,56,4927
2015-10-17,2911.1,14398,519,90,3,33,19,59,,,,,,643.7,103,7028
2015-10-18,3464,20796,419,94,0,24,0,62,155.6,26,443.7,34,5628,744.3,114,8566
2015-10-19,2793.2,8811,412,88,1,9,15,68,545.7,74,,,,329.7,48,3889
2015-10-20,2863.8,7516,463,91,3,30,22,58,227.2,33,,,,241.8,36,2744
2015-10-21,2435.3,6165,374,76,0,24,0,64,178,25,,,,249.3,37,2974
2015-10-22,2903.4,7131,446,95,1,25,6,58,388.6,57,,,,200.8,31,2262
2015-10-23,2712.1,8119,410,86,2,34,10,66,194.4,26,,,,354.4,52,4145
2015-10-24,3007.8,19268,548,84,0,28,0,58,,,455.3,35,5890,503.2,73,6006
2015-10-25,2838.2,13549,583,76,5,29,38,58,,,562.4,40,6540,215.9,33,2384
2015-10-26,2728.6,8767,388,79,1,20,5,61,204.6,36,,,,361.6,48,4092
2015-10-27,2534.8,4326,304,52,1,11,8,56,177,30,,,,114.4,19,1228
2015-10-28,2416.7,9796,567,81,2,50,11,55,,,273.2,22,3636,312.3,38,3322
2015-10-29,2254.6,4668,251,40,2,15,7,,,,,,,175.1,24,2065
2015-10-30,3257.4,9582,599,66,1,50,1,66,158.5,24,,,,399.6,56,4557
2015-10-31,3575.7,23401,533,92,1,26,3,60,,,467.9,36,5958,806.4,123,8872
2015-11-01,3327.6,18777,374,70,2,35,0,60,,,551.1,40,6598,477.9,66,5546
2015-11-02,2535.1,6152,331,64,0,16,0,57,235.9,32,,,,142.8,20,1723
2015-11-03,3051.4,7570,429,93,2,14,4,61,544.7,73,,,,245,39,2763
2015-11-04,2556.7,8208,454,88,2,26,12,63,122,24,,,,232.2,33,2742
2015-11-05,2614.8,9691,398,84,1,32,0,63,188.7,24,,,,313.8,48,3475
2015-11-06,2873.5,10677,420,94,1,31,0,58,,,,,,462,64,5250
2015-11-07,3601.7,22530,357,66,1,25,0,66,183.2,22,465.6,35,5692,736.6,122,7992
2015-11-08,2867.5,13665,596,68,1,26,7,58,73.1,14,552.1,41,6782,250.3,35,2872
2015-11-09,2910.1,9023,427,97,0,26,0,59,310.4,54,,,,276.6,36,3345
2015-11-10,2894.9,7712,384,74,1,25,0,63,200,28,,,,256,38,3156
2015-11-11,2507.7,6599,511,92,2,67,1,65,147.2,24,,,,211.4,28,2490
2015-11-12,2879.5,9172,379,74,2,21,5,63,186.7,25,,,,304.8,44,3428
2015-11-13,2901.9,8881,518,92,2,35,2,58,190.3,28,,,,325.9,46,3711
2015-11-14,3094.6,17959,543,92,0,39,0,65,,,496.1,35,5859,522.2,77,5991
2015-11-15,2330.2,7159,342,58,2,20,15,58,,,,,,245,35,2846
2015-11-16,1846.4,7911,389,83,1,19,0,51,,,,,,459.4,50,5221
2015-11-17,2722.2,8576,232,32,0,26,0,64,,,,,,433.3,47,4462
2015-11-18,2606.8,9563,352,70,1,18,8,62,,,,,,447.5,51,5331
2015-11-19,2754.8,9130,346,67,0,26,0,56,,,,,,436.9,53,5424
2015-11-20,2742.9,4785,565,84,2,45,3,56,,,,,,147.4,19,1679
2015-11-21,4460.6,22937,366,71,1,25,15,61,,,526.8,36,5939,824.1,120,8998
