,xinexpo22_I12,xinexpo51_I6,xinexpo56_I5,xinexpo44_I15,xinexpo28_I15,xinexpo74_I6,xinexpo56_I12,xinexpo70_I6,xinexpo62_I6,xinexpo75_I12
Patulibacter,758.803461979072,58.1816596876886,0,219.384733642978,0,446.07476496755,27.5313494983549,1603.82029038731,2099.79406723205,0
Adineta,58.6341190161571,0.276884181870035,0,6.6664479746084,0,0,0,16.0419199334011,376.577207291022,0
Nocardiopsis,20.5706486739518,0,33.8061999035666,60.4455039920056,4.51110977798321,0,2213.18515792352,1602.2616826418,0,0
Rhizopogon,141.231417113003,2258.32641704668,897.089195250857,680.484790415891,2695.52081971935,1607.08618177967,2909.14500118667,1.45775205312973,68.314305209696,1.9372287502602
Gemella,139.638398642254,0,0.306822646595964,60.8126390353159,0,443.838184633559,54.9906492302558,3.22119200660976,228.739044618912,70.456336250708
Capnocytophaga,79.1337382713051,237.22283089105,154.720319170569,246.886776833371,1320.14632238216,854.84352894866,15.5362170282026,126.718338343541,199.830231457171,484.044926801391
Talaromyces,59.0889592927554,52.8422530397619,6.89627345722553,132.108201999812,123.682988280648,23.3005737005508,104.841284107485,153.913450110159,0.386850646511895,0
Picea,1097.51188827642,320.242078843257,785.896580744262,0.842868959071039,7.14715212689949,384.853578226002,295.463177195334,0,0,0
Fibulorhizoctonia,228.883373410614,2957.16175517081,3928.81590401004,896.343522120807,742.948237857445,23.4465985901619,16.6319861799665,0,0.121772237042731,0
Phlebiopsis,85.6721337261111,1487.38973673002,5074.44381181951,1186.02320420767,1740.59366542909,3049.59482064003,1397.32450138241,327.451973531135,244.875152051514,343.055920045253
Vicia,54.9874029101019,10.6074983216712,0.332886712381548,0.415175650556125,84.8267771119134,88.2965481902904,2.23833420597852,180.345183834923,750.149156948851,0.096415738468857
Lautropia,32.1866475313086,96.4950685309413,388.284734534145,270.187022749713,160.376363850062,50.2215223829522,27.3577429967965,102.054164912549,0,0.412033803013213
Cellulomonas,279.628321624528,6.4842089515439,38.342728727717,110.713345229689,182.39561052679,0,452.868400781332,1651.67486854433,1822.49401188839,0
Peptoclostridium,0.307331176820686,12.4310537996686,0,5.41433169413963,18.9018596721102,118.897680397128,0,0,200.855238362066,0
Buchnera,13.8497367803637,83.1539594406204,0.780088367277026,0,84.4752003616193,631.908073487211,1253.66075289833,231.645102104862,266.804214288156,219.265187244442
Ochrobactrum,0,0,1724.8393853808,0,0,207.710272867236,942.303915087412,804.422333543104,0,4069.82646827889
Botryobasidium,105.527417437455,2125.30580425289,456.483928950591,728.006427495416,611.031740248123,281.897325904448,227.923461495758,10.2254202584438,0,0
Carnobacterium,40.9135498809722,112.049629021406,1018.68991021628,99.5956130409433,6.13018811556943,185.3990521566,54.6580468942355,407.317120451152,54.8473147763907,4.64504136777516
Gongronella,389.494364486476,5933.95541423665,1443.4713278319,1505.34928825662,2052.97458821236,1415.56284236723,1415.98652713077,0.78004248084039,0,154.961509028481
Ruminococcus,8.61659606147016,47.1652128522492,6.31553965998333,108.470859649925,123.139049142412,359.279806361103,34.0279531414913,72.2828945724148,214.2849333101,0
Gallus,0.281404436737767,0.469710753615735,27.8407410147938,0,0,77.7964454881913,3.33769623430016,0,219.244780233681,0.0600770884472399
Microlunatus,231.8514086276,25.549562491576,0,482.266397476682,188.555736504334,90.9216103373322,379.850493023986,1152.34843592492,28.4905516109532,17.5398342930751
Nakamurella,834.297854100194,57.1051049930872,4.60571473064206,376.916608106442,144.354290582642,195.068027310528,988.259594091061,2972.2551851204,11.1639015323722,0
Megamonas,3.8895019081713,0,1.47661993506632,190.753713079185,8.72779250822409,1130.20810270396,1.95851001104599,17.6061384066774,0,69.8161603520377
Bdellovibrio,855.634035097919,34.8775577158168,0.543792300812485,363.456927577648,248.077141761721,0,0.105946468920573,0,356.782155302492,0
Adhaeribacter,562.097655280491,0,539.271998948606,97.3715747229509,1.92234800547125,40.7362546685765,0,13.4928278606711,7.44942195731822,0
Shewanella,54.0485678010919,12.6595320149598,162.131634598843,0,30.6273048990653,0,0,0,22.6877047782215,0
Treponema,7.33193943859839,0,0,10.2564220452754,259.285337023572,178.175553338717,0.504617063892629,0,0,0.081907837201276
Botrytis,46.5991880003598,13.4028827395388,0,366.735978137474,0,19278.5095705833,0,0,0,0
Nosocomiicoccus,0,0,0,0,32.9502110393067,0,0,0,0,0
Mrakia,92.3554703588647,1698.92509052742,392.002363227994,3468.51028022616,533.616781886047,691.350272215272,907.992691420447,1047.53654580375,0,44.6065364410737
Synechocystis,138.527555998798,139.005694603687,8.88364152688541,96.9193154219212,978.450502280663,872.768854982573,45.5306939737102,0,0.871466493386258,174.671544830296
Sistotremastrum,21.2867961118118,547.544487942896,396.169997854924,282.169681573944,25.3075929998203,2939.65815670495,567.287685327921,0,61.6446940821379,0.687500431715305
Bifidobacterium,14.422135450796,19.3643159940564,18.4982057214781,205.165965541073,71.034731508478,15.0263710104905,99.6470364688527,0,0.702869801180889,0
Paenibacillus,192.910279644313,0,9.67582328087051,46.7029038713975,301.018107016238,0.310049825167537,520.214167839586,0,15.6930143093958,59.3033113383424
Devosia,237.885851367545,56.1908005029687,13.0104442723486,37.2460940035244,100.213905669277,0,50.5045359248727,1601.80794828182,0,1756.7999952846
Exiguobacterium,291.750228484019,94.4029323973834,0,105.432408862683,1.50427055253922,42.8887657792597,162.385057546419,9.33396315616713,38.1127060293218,0
Triticum,66.8931046389533,7.59984716246761,0,20.1147458118751,717.972329713949,123.182863105018,634.656449329859,0,0.173068122883078,0
