,chaoexpo22_I12,chaoexpo51_I6,chaoexpo56_I5,chaoexpo44_I15,chaoexpo28_I15,chaoexpo74_I6,chaoexpo56_I12,chaoexpo70_I6,chaoexpo62_I6,chaoexpo75_I12
Byssochlamys,0.453351787373187,15.1038590493755,25.7022106775362,2.04714470326546,0,0,50.0781392390177,36013.2817235802,22.1909972067428,0
Peniophora,744.81252140782,2430.1648908462,1299.97910332093,1153.6979373816,16.8167931654365,263.050736741645,153.16091715468,0,3.34800703801472,0
Cryptococcus,1673.5713618224,92.1218947030847,2.92597899573702,350.777969758463,1.6943388341659,6.46311351105612,13.9129928284408,65.1566768827936,0,0
Puccinia,65.1458694783904,0.934555188544844,0,6.75342165088506,0,2.81386548256904,0,0,124.362419554339,0
Lentinula,57.1841491387942,148.118398273414,190.442306131961,175.204986310692,0.23838465597411,71.0330760133332,7.12597454165396,0,0,0
Condylostylus,0,0,0,0,0,0,0,0,0,0
Pseudotsuga,9475.33209431925,2245.68586149276,0.88018788033915,0.955611778447061,0,0.232538276140309,11.1682728671714,0,0,0
Postia,148.528199213988,293.789185504965,437.925862406204,311.745755070017,131.770895070257,311.261640294429,411.554729864856,0,3.30534196399475,3.51038080276089
Haemophilus,0.216565017541889,0,0,19.4418093897806,0.161419818855696,18.73985852214,28.4161972713162,18.5871981568067,42.1133170997806,0
Pedobacter,428.574925727136,106.470039731012,14.990753462519,71.7104775627226,14.2253295888074,142.52237636748,194.408108330001,353.325371497408,119.8846773097,14.5111541043103
Zymoseptoria,624.426246687692,334.520900714054,16.3128546402978,161.914409173061,63.146029937514,390.558655931779,244.920088428884,0,478.97430686759,0
Oidiodendron,196.401428874347,182.930013131592,17.5087982243846,68.6831215045179,24.1228244868599,394.790932341541,704.900995685446,0,0,0
Gelatoporia,60.7940506888187,176.856297380478,231.863382536536,144.040386315041,58.2444386238634,70.38210175522,885.97832462776,0,4692.97786029751,8284.70490812448
Piloderma,471.989369712805,3205.11092966246,2169.78155156266,2552.98551727823,1541.9678046394,259.758791486641,142.758212708918,0,509.370269399973,1.09886001598563
Gymnopus,74.0386083556765,137.171504950865,68.4754350718152,236.262170894929,14.2942595240803,75.3048551904998,740.537777577605,0,0,14.9018226465845
Dioszegia,363.935000303009,61.2133292060544,53.2248099044456,112.599731598844,0,31.2650159933992,0,53.5080808930923,0,0
